question_split,problem_id,trace_id,corpus_index,analysis_length_label,solution_token_count,feature_7541_token_mean_activation,feature_7541_token_activation_frequency,feature_7541_maximum_activation,feature_7541_first_64_token_mean_activation,feature_16570_token_mean_activation,feature_16570_token_activation_frequency,feature_16570_maximum_activation,feature_16570_first_64_token_mean_activation,feature_21215_token_mean_activation,feature_21215_token_activation_frequency,feature_21215_maximum_activation,feature_21215_first_64_token_mean_activation,feature_19318_token_mean_activation,feature_19318_token_activation_frequency,feature_19318_maximum_activation,feature_19318_first_64_token_mean_activation,feature_20269_token_mean_activation,feature_20269_token_activation_frequency,feature_20269_maximum_activation,feature_20269_first_64_token_mean_activation,feature_8448_token_mean_activation,feature_8448_token_activation_frequency,feature_8448_maximum_activation,feature_8448_first_64_token_mean_activation,feature_19541_token_mean_activation,feature_19541_token_activation_frequency,feature_19541_maximum_activation,feature_19541_first_64_token_mean_activation,feature_24715_token_mean_activation,feature_24715_token_activation_frequency,feature_24715_maximum_activation,feature_24715_first_64_token_mean_activation,feature_6086_token_mean_activation,feature_6086_token_activation_frequency,feature_6086_maximum_activation,feature_6086_first_64_token_mean_activation,feature_3240_token_mean_activation,feature_3240_token_activation_frequency,feature_3240_maximum_activation,feature_3240_first_64_token_mean_activation,feature_22686_token_mean_activation,feature_22686_token_activation_frequency,feature_22686_maximum_activation,feature_22686_first_64_token_mean_activation,feature_2079_token_mean_activation,feature_2079_token_activation_frequency,feature_2079_maximum_activation,feature_2079_first_64_token_mean_activation,feature_23254_token_mean_activation,feature_23254_token_activation_frequency,feature_23254_maximum_activation,feature_23254_first_64_token_mean_activation,feature_5834_token_mean_activation,feature_5834_token_activation_frequency,feature_5834_maximum_activation,feature_5834_first_64_token_mean_activation,feature_3934_token_mean_activation,feature_3934_token_activation_frequency,feature_3934_maximum_activation,feature_3934_first_64_token_mean_activation,feature_10298_token_mean_activation,feature_10298_token_activation_frequency,feature_10298_maximum_activation,feature_10298_first_64_token_mean_activation,feature_27482_token_mean_activation,feature_27482_token_activation_frequency,feature_27482_maximum_activation,feature_27482_first_64_token_mean_activation,feature_14448_token_mean_activation,feature_14448_token_activation_frequency,feature_14448_maximum_activation,feature_14448_first_64_token_mean_activation,feature_2329_token_mean_activation,feature_2329_token_activation_frequency,feature_2329_maximum_activation,feature_2329_first_64_token_mean_activation,feature_6923_token_mean_activation,feature_6923_token_activation_frequency,feature_6923_maximum_activation,feature_6923_first_64_token_mean_activation,feature_22481_token_mean_activation,feature_22481_token_activation_frequency,feature_22481_maximum_activation,feature_22481_first_64_token_mean_activation,feature_4230_token_mean_activation,feature_4230_token_activation_frequency,feature_4230_maximum_activation,feature_4230_first_64_token_mean_activation,feature_14909_token_mean_activation,feature_14909_token_activation_frequency,feature_14909_maximum_activation,feature_14909_first_64_token_mean_activation,feature_20426_token_mean_activation,feature_20426_token_activation_frequency,feature_20426_maximum_activation,feature_20426_first_64_token_mean_activation
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_00,16,long,328,0.05335365980863571,0.0030487803742289543,17.5,0.0,0.0724085345864296,0.006097560748457909,13.6875,0.0,0.07507622241973877,0.006097560748457909,12.9375,0.0,0.019340701401233673,0.0030487803742289543,6.34375,0.0,0.031059451401233673,0.0030487803742289543,10.1875,0.0,0.05421112850308418,0.006097560748457909,11.375,0.0,0.030868902802467346,0.0030487803742289543,10.125,0.0,0.05583079159259796,0.006097560748457909,11.8125,0.0,0.02515243925154209,0.0030487803742289543,8.25,0.0,0.1721608191728592,0.009146341122686863,30.625,0.0,0.11604420840740204,0.009146341122686863,20.5,0.0,0.023056402802467346,0.0030487803742289543,7.5625,0.0,0.24795159697532654,0.07012195140123367,5.21875,0.0,0.21446265280246735,0.04878048598766327,9.625,0.0,0.21977420151233673,0.03658536449074745,13.25,0.0,0.08553258329629898,0.024390242993831635,6.3125,0.0,0.07660061120986938,0.018292682245373726,6.28125,0.0,0.1239519789814949,0.015243902802467346,13.625,0.0,0.25219130516052246,0.05487804859876633,10.6875,0.038330078125,0.4310689866542816,0.07621951401233673,10.0,0.0,0.16177591681480408,0.018292682245373726,13.375,0.0,0.05840320140123367,0.009146341122686863,8.0625,0.0,0.400247722864151,0.03353658691048622,15.625,0.0,0.4781821668148041,0.03353658691048622,19.375,0.0
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_02,18,long,311,0.05586816743016243,0.003215434029698372,17.375,0.0,0.07475884258747101,0.006430868059396744,13.875,0.0,0.07817523926496506,0.006430868059396744,13.5,0.0,0.022909967228770256,0.003215434029698372,7.125,0.0,0.033561091870069504,0.003215434029698372,10.4375,0.0,0.053255628794431686,0.006430868059396744,11.0625,0.0,0.03155144676566124,0.003215434029698372,9.8125,0.0,0.06450964510440826,0.006430868059396744,13.125,0.0,0.029340835288167,0.003215434029698372,9.125,0.0,0.1684083640575409,0.006430868059396744,31.0,0.0,0.10530546307563782,0.006430868059396744,19.625,0.0,0.022909967228770256,0.003215434029698372,7.125,0.0,0.1101788580417633,0.028938906267285347,5.0625,0.0,0.1676045060157776,0.03215434029698372,10.625,0.0,0.05677250772714615,0.01929260417819023,3.546875,0.0,0.06692121922969818,0.022508038207888603,3.5625,0.0,0.04642282798886299,0.012861736118793488,5.34375,0.0,0.15454180538654327,0.01607717014849186,11.25,0.0,0.21809686720371246,0.05144694447517395,6.3125,0.0,0.45724478363990784,0.07717041671276093,12.9375,0.0,0.14288584887981415,0.012861736118793488,11.6875,0.0,0.02285972610116005,0.006430868059396744,3.9375,0.0,0.19533762335777283,0.01607717014849186,13.6875,0.0,0.2110128551721573,0.01607717014849186,14.5625,0.0
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_03,19,short,254,0.06840550899505615,0.003937007859349251,17.375,0.0,0.09055118262767792,0.007874015718698502,13.125,0.0,0.09498031437397003,0.007874015718698502,12.875,0.0,0.02460629865527153,0.003937007859349251,6.25,0.0,0.037647638469934464,0.003937007859349251,9.5625,0.0,0.06742125749588013,0.007874015718698502,11.1875,0.0,0.04502952843904495,0.003937007859349251,11.4375,0.0,0.06938976049423218,0.007874015718698502,11.625,0.0,0.03469488024711609,0.003937007859349251,8.8125,0.0,0.21635088324546814,0.011811023578047752,29.625,0.0,0.14769931137561798,0.011811023578047752,19.5,0.0,0.02768208645284176,0.003937007859349251,7.03125,0.0,0.11060531437397003,0.031496062874794006,4.9375,0.0,0.14702263474464417,0.031496062874794006,7.4375,0.0,0.048289861530065536,0.019685039296746254,2.96875,0.0,0.05911663547158241,0.019685039296746254,4.34375,0.0,0.0,0.0,0.0,0.0,0.0859990194439888,0.011811023578047752,12.5625,0.0,0.2500615119934082,0.05118110403418541,9.125,0.0,0.5990403294563293,0.07480315119028091,13.8125,0.0,0.15132874250411987,0.011811023578047752,13.0625,0.0,0.06416092813014984,0.015748031437397003,5.6875,0.0,0.38102853298187256,0.031496062874794006,16.875,0.0,0.42814961075782776,0.027559055015444756,20.0,0.0
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_05,21,short,238,0.07195378094911575,0.004201680887490511,17.125,0.0,0.09506302326917648,0.008403361774981022,13.625,0.0,0.10136554390192032,0.008403361774981022,13.625,0.0,0.03125,0.004201680887490511,7.4375,0.0,0.043592438101768494,0.004201680887490511,10.375,0.0,0.06880252063274384,0.008403361774981022,11.0625,0.0,0.041228991001844406,0.004201680887490511,9.8125,0.0,0.0815388634800911,0.008403361774981022,12.875,0.0,0.03991596773266792,0.004201680887490511,9.5,0.0,0.21796219050884247,0.008403361774981022,31.0,0.0,0.13366596400737762,0.008403361774981022,19.125,0.0,0.02980567142367363,0.004201680887490511,7.09375,0.0,0.0713629201054573,0.021008403971791267,4.09375,0.0,0.09611344337463379,0.016806723549962044,8.9375,0.0,0.060333508998155594,0.02521008439362049,2.953125,0.0,0.056985292583703995,0.012605042196810246,7.40625,0.0,0.0,0.0,0.0,0.0,0.10333508253097534,0.012605042196810246,11.375,0.0,0.2154017835855484,0.04621848836541176,8.8125,0.0,0.4375656545162201,0.05882352963089943,12.8125,0.0,0.010307247750461102,0.004201680887490511,2.453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_06,22,short,255,0.0676470622420311,0.003921568859368563,17.25,0.0,0.08970588445663452,0.007843137718737125,13.8125,0.0,0.09632352739572525,0.007843137718737125,13.75,0.0,0.02916666679084301,0.003921568859368563,7.4375,0.0,0.040441177785396576,0.003921568859368563,10.3125,0.0,0.06495098024606705,0.007843137718737125,11.125,0.0,0.03872549161314964,0.003921568859368563,9.875,0.0,0.0783088207244873,0.007843137718737125,13.0625,0.0,0.03700980544090271,0.003921568859368563,9.4375,0.0,0.20735293626785278,0.007843137718737125,31.5,0.0,0.12671568989753723,0.007843137718737125,19.5,0.0,0.02818627469241619,0.003921568859368563,7.1875,0.0,0.10134804248809814,0.0313725508749485,4.71875,0.0,0.10533088445663452,0.0235294122248888,9.125,0.0,0.021629901602864265,0.007843137718737125,2.828125,0.0,0.10753676295280457,0.027450980618596077,7.625,0.0,0.012990196235477924,0.003921568859368563,3.3125,0.0,0.1411764770746231,0.01568627543747425,12.0625,0.0,0.19528186321258545,0.05098039284348488,5.59375,0.05126953125,0.6002451181411743,0.06666667014360428,14.0625,0.0,0.022058824077248573,0.007843137718737125,3.390625,0.0,0.016789216548204422,0.003921568859368563,4.28125,0.0,0.25753676891326904,0.0235294122248888,17.0,0.0,0.29093137383461,0.019607843831181526,20.0,0.0
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_10,26,long,296,0.0595439188182354,0.0033783784601837397,17.625,0.0,0.07918073982000351,0.006756756920367479,13.25,0.0,0.08340371400117874,0.006756756920367479,13.0,0.0,0.02950802445411682,0.006756756920367479,6.375,0.0,0.033150337636470795,0.0033783784601837397,9.8125,0.0,0.05901604890823364,0.006756756920367479,11.3125,0.0,0.03990709409117699,0.0033783784601837397,11.8125,0.0,0.06133868172764778,0.006756756920367479,11.9375,0.0,0.0297719594091177,0.0033783784601837397,8.8125,0.0,0.18786950409412384,0.010135134682059288,29.75,0.0,0.12811444699764252,0.010135134682059288,19.75,0.0,0.023859797045588493,0.0033783784601837397,7.0625,0.0,0.18127112090587616,0.054054055362939835,4.875,0.0,0.14516469836235046,0.03378378227353096,7.03125,0.0,0.051309119910001755,0.020270269364118576,3.515625,0.0,0.10414907336235046,0.03378378227353096,4.03125,0.0,0.018633868545293808,0.006756756920367479,3.390625,0.0,0.08340371400117874,0.013513513840734959,10.9375,0.0,0.23775337636470795,0.05067567527294159,11.4375,0.037353515625,0.5379011631011963,0.07770270109176636,13.5,0.0,0.12183277308940887,0.010135134682059288,12.9375,0.0,0.07406038790941238,0.01689189113676548,6.84375,0.0,0.3839738070964813,0.03378378227353096,16.25,0.0,0.4480574429035187,0.030405405908823013,19.75,0.0
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_11,27,long,308,0.05681818351149559,0.003246753243729472,17.5,0.0,0.07609578222036362,0.006493506487458944,13.9375,0.0,0.07934252917766571,0.006493506487458944,13.5,0.0,0.023640422150492668,0.003246753243729472,7.28125,0.0,0.03429383039474487,0.003246753243729472,10.5625,0.0,0.0546875,0.006493506487458944,11.1875,0.0,0.03246753290295601,0.003246753243729472,10.0,0.0,0.0647321417927742,0.006493506487458944,13.0625,0.0,0.03023538924753666,0.003246753243729472,9.3125,0.0,0.17045454680919647,0.006493506487458944,31.0,0.0,0.10511363297700882,0.006493506487458944,19.375,0.0,0.023133117705583572,0.003246753243729472,7.125,0.0,0.15665584802627563,0.048701297491788864,4.875,0.0,0.3926542103290558,0.07792207598686218,14.6875,0.0,0.28789570927619934,0.051948051899671555,11.75,0.0,0.07234171777963638,0.022727273404598236,4.71875,0.0,0.011515827849507332,0.003246753243729472,3.546875,0.0,0.14427760243415833,0.022727273404598236,11.5,0.0,0.3006798028945923,0.051948051899671555,10.0,0.0,0.622260570526123,0.08766233921051025,13.4375,0.0,0.22706981003284454,0.019480518996715546,12.75,0.0,0.035562094300985336,0.009740259498357773,5.34375,0.0,0.4216720759868622,0.03896103799343109,16.375,0.0,0.4666193127632141,0.0357142873108387,19.875,0.0
dev,hf-000001,hf-000001:qwen2p5_7b:unconstrained_sample_pool:candidate_13,29,short,241,0.07261411100625992,0.004149377811700106,17.5,0.0,0.09465767443180084,0.008298755623400211,13.75,0.0,0.10140041261911392,0.008298755623400211,13.75,0.0,0.030990663915872574,0.004149377811700106,7.46875,0.0,0.043309129774570465,0.004149377811700106,10.4375,0.0,0.0684647336602211,0.008298755623400211,11.125,0.0,0.04175311326980591,0.004149377811700106,10.0625,0.0,0.08246888220310211,0.008298755623400211,13.125,0.0,0.03915975242853165,0.004149377811700106,9.4375,0.0,0.21991701424121857,0.008298755623400211,31.5,0.0,0.1348547786474228,0.008298755623400211,19.5,0.0,0.029823651537299156,0.004149377811700106,7.1875,0.0,0.05141338333487511,0.016597511246800423,4.0,0.0,0.15618516504764557,0.033195022493600845,9.5625,0.0,0.05883687734603882,0.02074688859283924,4.125,0.0,0.0318659245967865,0.01244813296943903,3.421875,0.0,0.0,0.0,0.0,0.0,0.10243775695562363,0.01244813296943903,12.375,0.0,0.2901322543621063,0.05394190922379494,9.8125,0.0,0.43659231066703796,0.062240663915872574,12.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,hf-000012,hf-000012:qwen2p5_7b:unconstrained_sample_pool:candidate_00,64,long,231,0.07683982700109482,0.0043290043249726295,17.75,0.0,0.1011904776096344,0.008658008649945259,13.375,0.0,0.10849566757678986,0.008658008649945259,13.0625,0.0,0.03125,0.0043290043249726295,7.21875,0.0,0.043019481003284454,0.0043290043249726295,9.9375,0.0,0.07575757801532745,0.008658008649945259,11.1875,0.0,0.04843073710799217,0.0043290043249726295,11.1875,0.0,0.08373917639255524,0.008658008649945259,12.5,0.0,0.03841991350054741,0.0043290043249726295,8.875,0.0,0.25933441519737244,0.012987012974917889,30.375,0.0,0.16923701763153076,0.012987012974917889,19.625,0.0,0.03233225271105766,0.0043290043249726295,7.46875,0.0,1.9004666805267334,0.2857142984867096,14.75,1.1318359375,0.08089827001094818,0.021645022556185722,4.3125,0.0,0.008928571827709675,0.0043290043249726295,2.0625,0.0,0.035376083105802536,0.012987012974917889,3.140625,0.0,0.17444534599781036,0.03896103799343109,10.0625,0.04736328125,0.0357142873108387,0.0043290043249726295,8.25,0.0,0.09192369878292084,0.025974025949835777,5.34375,0.044677734375,0.14968885481357574,0.017316017299890518,12.6875,0.0,0.1431277096271515,0.012987012974917889,11.625,0.0,0.03388798609375954,0.008658008649945259,5.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,hf-000012,hf-000012:qwen2p5_7b:unconstrained_sample_pool:candidate_01,65,short,189,0.09391534328460693,0.005291005130857229,17.75,0.0,0.1190476194024086,0.010582010261714458,12.875,0.0,0.12863756716251373,0.010582010261714458,12.625,0.0,0.037367723882198334,0.005291005130857229,7.0625,0.0,0.05423280596733093,0.005291005130857229,10.25,0.0,0.09110449999570847,0.010582010261714458,10.9375,0.0,0.05522486940026283,0.005291005130857229,10.4375,0.0,0.0947420671582222,0.010582010261714458,11.5625,0.0,0.0446428582072258,0.005291005130857229,8.4375,0.0,0.2797619104385376,0.010582010261714458,30.375,0.0,0.184523805975914,0.010582010261714458,20.125,0.0,0.04183201119303703,0.005291005130857229,7.90625,0.0,1.456183910369873,0.22751322388648987,14.4375,0.09033203125,0.025876322761178017,0.010582010261714458,2.78125,0.0,0.0570436492562294,0.026455026119947433,2.59375,0.022216796875,0.02802579291164875,0.010582010261714458,3.0,0.0,0.17080026865005493,0.03703703731298447,9.5,0.0,0.03951719403266907,0.005291005130857229,7.46875,0.0,0.0995783731341362,0.026455026119947433,5.96875,0.0784912109375,0.1750992089509964,0.021164020523428917,11.875,0.0,0.0,0.0,0.0,0.0,0.03133267164230347,0.010582010261714458,3.859375,0.0322265625,0.0,0.0,0.0,0.0,0.01016865111887455,0.005291005130857229,1.921875,0.0
