feature_id,dev_token_mean_activation_effect,dev_token_mean_activation_ci_low,dev_token_mean_activation_ci_high,dev_token_mean_activation_paired_d,dev_token_mean_activation_p_value,dev_token_mean_activation_bh_q_value,dev_token_mean_activation_prevalence,dev_token_activation_frequency_effect,dev_token_activation_frequency_ci_low,dev_token_activation_frequency_ci_high,dev_token_activation_frequency_paired_d,dev_token_activation_frequency_p_value,dev_token_activation_frequency_bh_q_value,dev_token_activation_frequency_prevalence,dev_maximum_activation_effect,dev_maximum_activation_ci_low,dev_maximum_activation_ci_high,dev_maximum_activation_paired_d,dev_maximum_activation_p_value,dev_maximum_activation_bh_q_value,dev_maximum_activation_prevalence,dev_first_64_token_mean_activation_effect,dev_first_64_token_mean_activation_ci_low,dev_first_64_token_mean_activation_ci_high,dev_first_64_token_mean_activation_paired_d,dev_first_64_token_mean_activation_p_value,dev_first_64_token_mean_activation_bh_q_value,dev_first_64_token_mean_activation_prevalence,test_token_mean_activation_effect,test_token_mean_activation_ci_low,test_token_mean_activation_ci_high,test_token_mean_activation_paired_d,test_token_mean_activation_p_value,test_token_mean_activation_bh_q_value,test_token_mean_activation_prevalence,test_token_activation_frequency_effect,test_token_activation_frequency_ci_low,test_token_activation_frequency_ci_high,test_token_activation_frequency_paired_d,test_token_activation_frequency_p_value,test_token_activation_frequency_bh_q_value,test_token_activation_frequency_prevalence,test_maximum_activation_effect,test_maximum_activation_ci_low,test_maximum_activation_ci_high,test_maximum_activation_paired_d,test_maximum_activation_p_value,test_maximum_activation_bh_q_value,test_maximum_activation_prevalence,test_first_64_token_mean_activation_effect,test_first_64_token_mean_activation_ci_low,test_first_64_token_mean_activation_ci_high,test_first_64_token_mean_activation_paired_d,test_first_64_token_mean_activation_p_value,test_first_64_token_mean_activation_bh_q_value,test_first_64_token_mean_activation_prevalence
0,0.0048338857487036915,-0.0001444303866183728,0.009812201884025755,0.16718819238041874,0.05692386632762834,0.6011495747129869,0.31871345029239767,0.0003026011130934807,-0.0005324862974731078,0.0011376885236600693,0.06239219683756816,0.47475400902768616,1.0,0.31871345029239767,-0.08724944760101012,-0.6045637303659411,0.43006483516392086,-0.029040220496401356,0.7391796148730804,1.0,0.31871345029239767,-0.0003296823212594697,-0.0010738468236816381,0.0004144821811626987,-0.0762813555994466,0.38241359653480433,1.0,0.31871345029239767,0.016292025706133417,0.010099043028677285,0.02248500838358955,0.45296736573558005,7.330799486022462e-07,2.8951609209812125e-05,0.3548076923076923,0.0019805777097424266,0.000994178154616054,0.002966977264868799,0.345724941681991,0.00011695972580192193,0.0032844948660065675,0.3548076923076923,1.0646652067550504,0.505679902552854,1.6236505109572468,0.32794752973960445,0.00024792098996810825,0.004723183139113355,0.3548076923076923,0.005371324943773674,0.002296381832774787,0.008446268054772561,0.3007710511614364,0.0007405336725438194,0.03785491338261258,0.3548076923076923
1,-1.51346356495086e-05,-0.00019312330106373136,0.00016285402976471417,-0.014641019407617677,0.8666755286828801,1.0,0.00682261208576998,-6.644928362220526e-06,-7.060033179979289e-05,5.731047507535184e-05,-0.01788976983741867,0.8374710179676097,1.0,0.00682261208576998,-0.009129379734848484,-0.05109215734434405,0.03283339787464708,-0.03746008316453145,0.6676238566821089,1.0,0.00682261208576998,0.0,0.0,0.0,0.0,1.0,1.0,0.00682261208576998,1.0990080861092517e-05,-1.0750920647368856e-05,3.273108236955389e-05,0.08703882797784851,0.31915408314502247,0.9564948125780403,0.0009615384615384616,6.86209938122016e-06,-6.7127700746073e-06,2.043696883704762e-05,0.08703882797784884,0.31915408314502064,0.9666087501635329,0.0009615384615384616,0.0030332623106060605,-0.0029672540917718136,0.009033778712983935,0.08703882797784927,0.3191540831450182,0.8784473333910046,0.0009615384615384616,0.0,0.0,0.0,0.0,1.0,1.0,0.0009615384615384616
2,3.0154955274698255e-05,-8.572201285224468e-05,0.0001460319234016412,0.04480776251552868,0.6075588999625274,1.0,0.010721247563352826,1.1471487908633518e-05,-4.755050672357456e-05,7.04934825408416e-05,0.03346551880884704,0.7012390949078363,1.0,0.010721247563352826,-0.0010258838383838372,-0.03024443105975162,0.028192663382983946,-0.006045486591649323,0.9447314911764069,1.0,0.010721247563352826,9.43270596590909e-05,-9.227436504900228e-05,0.0002809284843671841,0.08703882797784894,0.3191540831450201,1.0,0.010721247563352826,-1.2924920266607042e-05,-3.849349565424169e-05,1.2643655121027604e-05,-0.08703882797784912,0.3191540831450191,0.9564948125780403,0.0009615384615384616,-7.4859267580464035e-06,-2.2294875572526497e-05,7.323022056433688e-06,-0.08703882797784948,0.3191540831450171,0.9666087501635329,0.0009615384615384616,-0.003270004734848485,-0.009738854124729029,0.003198844655032059,-0.08703882797784919,0.3191540831450187,0.8784473333910046,0.0009615384615384616,0.0,0.0,0.0,0.0,1.0,1.0,0.0009615384615384616
3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,3.6466513957941174e-05,-8.543344166780493e-06,8.147637208266283e-05,0.13950131367628507,0.11139878758223214,0.8317776139473333,0.003898635477582846,1.7898420055368632e-05,-5.532348862386327e-06,4.132918897312359e-05,0.13152849419380444,0.13315941330457243,0.9224321571076832,0.003898635477582846,0.007575757575757576,-0.002429086786835429,0.01758060193835058,0.13037893359102853,0.13655462457329862,0.7231552407386286,0.003898635477582846,5.525531190814394e-05,-5.405287560468537e-05,0.00016456349942097325,0.08703882797784876,0.31915408314502103,1.0,0.003898635477582846,-0.0002206260705310287,-0.0006526112842099316,0.0002113591431478743,-0.08793861899290324,0.31419598129765686,0.9564948125780403,0.009615384615384616,-7.280290733571306e-05,-0.00021683908778817132,7.12332731167452e-05,-0.08702996711627799,0.3192031651550901,0.9666448195317643,0.009615384615384616,-0.013642282196969696,-0.03875844278443624,0.01147387839049685,-0.09352451623362117,0.2845671431247053,0.8784473333910046,0.009615384615384616,5.5024118134469696e-05,-5.382671294525146e-05,0.00016387494921419086,0.08703882797784883,0.3191540831450207,1.0,0.009615384615384616
5,0.0008169217221850453,-0.0004171925765224445,0.002051036020892535,0.11397687694854554,0.19265888228232145,0.9850367579623645,0.25146198830409355,0.0003658190708856729,-9.690867281988118e-05,0.000828546814591227,0.13612330842371814,0.12024472550669905,0.8689190768096345,0.25146198830409355,-0.0588995422979798,-0.1901489777009373,0.07234989310497769,-0.07726915605089987,0.37629958976564293,0.9880276408205599,0.25146198830409355,0.0010507757013494318,-0.001119193117660034,0.0032207445203588977,0.08337737553975716,0.3398610689742585,1.0,0.25146198830409355,0.000620316267789652,-0.0005590906428764227,0.0017997231784557268,0.09056099703643423,0.30003965083169104,0.9564948125780403,0.27115384615384613,0.0002470590139508736,-0.00020325366406538398,0.0006973716919671312,0.0944665864315184,0.2797650371411189,0.9666087501635329,0.27115384615384613,-0.06525706281565657,-0.19269584087624583,0.062181715244932684,-0.0881693454467107,0.3129329116050865,0.8784473333910046,0.27115384615384613,0.0012782703746448863,4.447929497103571e-05,0.0025120614543187366,0.17839093860984953,0.04240349833609967,0.8321650268943529,0.27115384615384613
6,1.7829973137739934e-05,-1.7441966876438692e-05,5.310191315191856e-05,0.08703882797784891,0.3191540831450203,0.9850367579623645,0.0009746588693957114,7.924432407669498e-06,-7.751985182556973e-06,2.3600849997895966e-05,0.08703882797784886,0.31915408314502053,0.9921702366532604,0.0009746588693957114,0.004261363636363636,-0.004168630138684355,0.012691357411411627,0.08703882797784873,0.3191540831450212,0.8959939167662886,0.0009746588693957114,0.0,0.0,0.0,0.0,1.0,1.0,0.0009746588693957114,1.546098307395975e-05,-8.36923442344372e-05,0.00011461431038235671,0.026848591363975025,0.7582171176593295,1.0,0.0038461538461538464,6.597366823692515e-06,-3.35124019444114e-05,4.670713559179643e-05,0.028321233630541294,0.7454079195487584,1.0,0.0038461538461538464,0.0012922190656565653,-0.019078044126564723,0.02166248225787785,0.010922729960934553,0.9003259573458173,1.0,0.0038461538461538464,0.0,0.0,0.0,0.0,1.0,1.0,0.0038461538461538464
7,-3.586880594604846e-05,-8.613663148974124e-05,1.4399019597644317e-05,-0.12286226377041745,0.16044445193543408,0.9609931864938355,0.001949317738791423,-1.2025540027852086e-05,-2.9055430655061104e-05,5.004350599356933e-06,-0.12158623829753197,0.16479968559499147,0.9597134686318093,0.001949317738791423,-0.011452414772727272,-0.027456518233268553,0.004551688687814009,-0.12321324939233992,0.15926206042243987,0.7689495428620806,0.001949317738791423,0.0,0.0,0.0,0.0,1.0,1.0,0.001949317738791423,-1.3300736265426332e-05,-3.961276534557752e-05,1.301129281472486e-05,-0.08703882797784893,0.3191540831450201,0.9564948125780403,0.0009615384615384616,-6.837326288928814e-06,-2.0363188658850086e-05,6.688536080992456e-06,-0.08703882797784893,0.3191540831450201,0.9666087501635329,0.0009615384615384616,-0.0036843039772727275,-0.010972736095282955,0.003604128140737501,-0.08703882797784894,0.3191540831450201,0.8784473333910046,0.0009615384615384616,0.0,0.0,0.0,0.0,1.0,1.0,0.0009615384615384616
8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,3.5657543886565804e-05,-5.192079517396749e-05,0.00012323588294709908,0.0701045835380528,0.4220251657142934,1.0,0.005847953216374269,2.3151173302198224e-05,-1.6740226601322273e-05,6.304257320571873e-05,0.09992759185172526,0.25302748405583053,0.9921702366532604,0.005847953216374269,0.003817471590909091,-0.02084621174293749,0.028481154924755673,0.02665075831392375,0.759943106134148,1.0,0.005847953216374269,-0.00015952370383522728,-0.0004750996426797974,0.00015605223500934285,-0.08703882797784872,0.3191540831450213,1.0,0.005847953216374269,0.00012733360530215907,1.288558440525567e-05,0.0002417816261990625,0.1915695334446934,0.02949019027142968,0.34876431781307987,0.013461538461538462,7.224026943952072e-05,6.778961560372838e-06,0.0001377015773186686,0.19001433752494123,0.03081047737938935,0.3667073505279582,0.013461538461538462,0.020078716856060608,-0.004662359071819552,0.04481979278394077,0.1397362441781246,0.11080342336814644,0.6129787001677283,0.013461538461538462,0.0,0.0,0.0,0.0,1.0,1.0,0.013461538461538462
