problem_id,trace_id,corpus_index,analysis_length_label,feature_id,direction,relative_position_bin,mean_activation
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19984,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19984,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19984,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19984,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19984,short,4,0.13217213114754098
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1694,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1694,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1694,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1694,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1694,short,4,0.1598360655737705
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,822,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,822,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,822,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,822,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,822,short,4,0.15368852459016394
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,21429,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,21429,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,21429,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,21429,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,21429,short,4,0.16393442622950818
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,9467,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,9467,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,9467,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,9467,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,9467,short,4,0.12295081967213115
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26756,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26756,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26756,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26756,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26756,short,4,0.13422131147540983
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,28478,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,28478,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,28478,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,28478,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,28478,short,4,0.1362704918032787
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22713,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22713,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22713,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22713,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22713,short,4,0.09989754098360656
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3249,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3249,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3249,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3249,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3249,short,4,0.11577868852459017
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1120,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1120,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1120,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1120,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1120,short,4,0.10553278688524591
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1649,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1649,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1649,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1649,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,1649,short,4,0.4661885245901639
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,6697,short,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,6697,short,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,6697,short,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,6697,short,3,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,6697,short,4,0.16700819672131148
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,24665,long,0,0.06804435483870967
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,24665,long,1,0.6446572580645161
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,24665,long,2,0.6193647540983607
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,24665,long,3,1.0123487903225807
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,24665,long,4,1.2497438524590163
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26451,long,0,0.11164314516129033
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26451,long,1,0.39163306451612906
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26451,long,2,0.10502049180327869
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26451,long,3,1.0075604838709677
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,26451,long,4,0.7984118852459017
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,125,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,125,long,1,0.5352822580645161
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,125,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,125,long,3,0.6033266129032258
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,125,long,4,0.49769467213114754
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3277,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3277,long,1,0.13608870967741934
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3277,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3277,long,3,0.3910030241935484
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,3277,long,4,0.36014344262295084
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22438,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22438,long,1,0.22857862903225806
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22438,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22438,long,3,0.2872983870967742
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22438,long,4,0.1834016393442623
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,5100,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,5100,long,1,0.5070564516129032
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,5100,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,5100,long,3,0.4017137096774194
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,5100,long,4,0.4702868852459016
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22945,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22945,long,1,0.28024193548387094
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22945,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22945,long,3,0.7575604838709677
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,22945,long,4,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,14034,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,14034,long,1,0.8578629032258065
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,14034,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,14034,long,3,0.9254032258064516
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,14034,long,4,0.7192622950819673
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,23847,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,23847,long,1,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,23847,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,23847,long,3,0.08543346774193548
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,23847,long,4,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19134,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19134,long,1,0.7358870967741935
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19134,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19134,long,3,0.8064516129032258
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,19134,long,4,0.5512295081967213
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,17266,long,0,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,17266,long,1,0.6592741935483871
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,17266,long,2,0.0
hf-000026,hf-000026:qwen2p5_7b:unconstrained_sample_pool:candidate_02,162,long,17266,long,3,0.7348790322580645
